STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement_Flag,Quality_Flag
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110815 10:00,0.06, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110815 11:00,0.02, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110815 12:00,0.07, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110815 13:00,0.07, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110815 14:00,0.08, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110815 15:00,0.25, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110815 16:00,0.09, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110815 17:00,0.15, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110815 18:00,0.08, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110815 19:00,0.07, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110815 20:00,0.03, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110815 21:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110815 22:00,0.08, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110815 23:00,0.01, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110816 00:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110816 05:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110816 06:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110816 11:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110816 12:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110816 13:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110816 14:00,0.01, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110816 15:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110819 15:00,0.03, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110819 16:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110821 12:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110821 13:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110821 21:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110821 23:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110822 02:00,0.32, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110822 03:00,0.27, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110822 04:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110825 17:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110825 18:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110825 19:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110825 23:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110826 00:00,0.06, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110826 01:00,0.03, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110826 02:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110827 13:00,0.02, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110827 14:00,0.09, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110827 15:00,0.21, , 
